Symbol,PN,Type,Date,Volatility,
NG,N/A,QMLE-Trade,2001-02-15,0.368307,0.02320116
NG,N/A,QMLE-Trade,2001-02-16,0.239584,0.015092373
NG,N/A,QMLE-Trade,2001-02-20,0.253961,0.015998039
NG,N/A,QMLE-Trade,2001-02-21,0.511329,0.032210699
NG,N/A,QMLE-Trade,2001-02-22,0.256811,0.016177572
NG,N/A,QMLE-Trade,2001-02-23,0.232455,0.014643289
NG,N/A,QMLE-Trade,2001-02-26,0.269619,0.016984401
NG,N/A,QMLE-Trade,2001-02-27,0.535781,0.033751031
NG,N/A,QMLE-Trade,2001-02-28,0.444951,0.028029278
NG,N/A,QMLE-Trade,2001-03-01,0.228135,0.014371154
NG,N/A,QMLE-Trade,2001-03-02,0.239708,0.015100185
NG,N/A,QMLE-Trade,2001-03-05,0.195551,0.012318555
NG,N/A,QMLE-Trade,2001-03-06,0.239717,0.015100752
NG,N/A,QMLE-Trade,2001-03-07,0.171359,0.010794602
NG,N/A,QMLE-Trade,2001-03-09,0.131611,0.008290714
NG,N/A,QMLE-Trade,2001-03-12,0.542625,0.034182162
NG,N/A,QMLE-Trade,2001-03-13,0.46804,0.029483749
NG,N/A,QMLE-Trade,2001-03-14,0.357443,0.022516793
NG,N/A,QMLE-Trade,2001-03-15,0.0906937,0.005713166
NG,N/A,QMLE-Trade,2001-03-16,0.196447,0.012374998
NG,N/A,QMLE-Trade,2001-03-19,0.240362,0.015141383
NG,N/A,QMLE-Trade,2001-03-20,0.566948,0.035714367
NG,N/A,QMLE-Trade,2001-03-21,0.134111,0.008448199
NG,N/A,QMLE-Trade,2001-03-22,0.546328,0.034415429
NG,N/A,QMLE-Trade,2001-03-23,0.172633,0.010874857
NG,N/A,QMLE-Trade,2001-03-26,0.223484,0.014078169
NG,N/A,QMLE-Trade,2001-03-27,0.488346,0.030762906
NG,N/A,QMLE-Trade,2001-03-28,0.111475,0.007022265
NG,N/A,QMLE-Trade,2001-03-30,0.14826,0.009339502
NG,N/A,QMLE-Trade,2001-04-02,0.545713,0.034376688
NG,N/A,QMLE-Trade,2001-04-03,0.164539,0.010364983
NG,N/A,QMLE-Trade,2001-04-04,0.106123,0.006685121
NG,N/A,QMLE-Trade,2001-04-05,0.721203,0.045431519
NG,N/A,QMLE-Trade,2001-04-06,0.108467,0.006832779
NG,N/A,QMLE-Trade,2001-04-09,0.224006,0.014111052
NG,N/A,QMLE-Trade,2001-04-10,0.237652,0.014970669
NG,N/A,QMLE-Trade,2001-04-11,0.632236,0.039827124
NG,N/A,QMLE-Trade,2001-04-12,0.282666,0.017806284
NG,N/A,QMLE-Trade,2001-04-16,0.212988,0.013416983
NG,N/A,QMLE-Trade,2001-04-17,0.530192,0.033398957
NG,N/A,QMLE-Trade,2001-04-18,0.206409,0.013002545
NG,N/A,QMLE-Trade,2001-04-19,0.137118,0.008637622
NG,N/A,QMLE-Trade,2001-04-20,0.20661,0.013015207
NG,N/A,QMLE-Trade,2001-04-23,0.0504125,0.003175689
NG,N/A,QMLE-Trade,2001-04-24,0.279865,0.017629838
NG,N/A,QMLE-Trade,2001-04-25,0.248791,0.01567236
NG,N/A,QMLE-Trade,2001-04-26,0.112565,0.007090928
NG,N/A,QMLE-Trade,2001-04-27,0.176718,0.011132188
NG,N/A,QMLE-Trade,2001-04-30,0.302137,0.019032842
NG,N/A,QMLE-Trade,2001-05-01,0.260225,0.016392634
NG,N/A,QMLE-Trade,2001-05-02,0.282009,0.017764897
NG,N/A,QMLE-Trade,2001-05-03,0.477758,0.030095925
NG,N/A,QMLE-Trade,2001-05-04,0.0424319,0.002672958
NG,N/A,QMLE-Trade,2001-05-07,0.577447,0.036375742
NG,N/A,QMLE-Trade,2001-05-08,0.274174,0.017271339
NG,N/A,QMLE-Trade,2001-05-09,0.204835,0.012903392
NG,N/A,QMLE-Trade,2001-05-10,0.585706,0.03689601
NG,N/A,QMLE-Trade,2001-05-11,0.104867,0.006606
NG,N/A,QMLE-Trade,2001-05-14,0.423638,0.026686686
NG,N/A,QMLE-Trade,2001-05-15,0.617996,0.038930089
NG,N/A,QMLE-Trade,2001-05-16,0.941346,0.059299224
NG,N/A,QMLE-Trade,2001-05-17,0.230173,0.014499536
NG,N/A,QMLE-Trade,2001-05-18,0.230594,0.014526057
NG,N/A,QMLE-Trade,2001-05-21,0.467768,0.029466614
NG,N/A,QMLE-Trade,2001-05-22,0.265047,0.016696392
NG,N/A,QMLE-Trade,2001-05-23,0.235529,0.014836932
NG,N/A,QMLE-Trade,2001-05-24,0.490652,0.030908171
NG,N/A,QMLE-Trade,2001-05-25,0.0960885,0.006053007
NG,N/A,QMLE-Trade,2001-05-29,0.0795513,0.005011261
NG,N/A,QMLE-Trade,2001-05-30,1.27353,0.080224849
NG,N/A,QMLE-Trade,2001-05-31,0.384467,0.024219145
NG,N/A,QMLE-Trade,2001-06-01,0.241459,0.015210487
NG,N/A,QMLE-Trade,2001-06-04,0.258809,0.016303435
NG,N/A,QMLE-Trade,2001-06-05,0.978495,0.061639391
NG,N/A,QMLE-Trade,2001-06-06,0.376013,0.023686593
NG,N/A,QMLE-Trade,2001-06-07,0.297476,0.018739227
NG,N/A,QMLE-Trade,2001-06-08,0.220668,0.013900777
NG,N/A,QMLE-Trade,2001-06-11,0.788877,0.04969458
NG,N/A,QMLE-Trade,2001-06-12,0.91132,0.057407764
NG,N/A,QMLE-Trade,2001-06-13,0.710447,0.044753954
NG,N/A,QMLE-Trade,2001-06-14,0.27935,0.017597396
NG,N/A,QMLE-Trade,2001-06-15,0.280318,0.017658374
NG,N/A,QMLE-Trade,2001-06-18,0.335194,0.021115237
NG,N/A,QMLE-Trade,2001-06-19,0.298434,0.018799575
NG,N/A,QMLE-Trade,2001-06-20,0.705984,0.044472812
NG,N/A,QMLE-Trade,2001-06-21,0.305898,0.019269763
NG,N/A,QMLE-Trade,2001-06-22,0.161533,0.010175623
NG,N/A,QMLE-Trade,2001-06-25,0.920856,0.058008475
NG,N/A,QMLE-Trade,2001-06-26,0.339353,0.02137723
NG,N/A,QMLE-Trade,2001-06-27,0.0211556,0.001332678
NG,N/A,QMLE-Trade,2001-06-28,0.274831,0.017312726
NG,N/A,QMLE-Trade,2001-06-29,0.168217,0.010596675
NG,N/A,QMLE-Trade,2001-07-02,1.20667,0.076013065
NG,N/A,QMLE-Trade,2001-07-03,0.373267,0.023513611
NG,N/A,QMLE-Trade,2001-07-05,0.540197,0.034029212
NG,N/A,QMLE-Trade,2001-07-06,0.174622,0.011000152
NG,N/A,QMLE-Trade,2001-07-09,0.127624,0.008039556
NG,N/A,QMLE-Trade,2001-07-10,0.696899,0.043900511
NG,N/A,QMLE-Trade,2001-07-11,0.292329,0.018414996
NG,N/A,QMLE-Trade,2001-07-12,0.299803,0.018885814
NG,N/A,QMLE-Trade,2001-07-13,0.562293,0.03542113
NG,N/A,QMLE-Trade,2001-07-16,0.488124,0.030748922
NG,N/A,QMLE-Trade,2001-07-17,0.475882,0.029977748
NG,N/A,QMLE-Trade,2001-07-18,0.491976,0.030991575
NG,N/A,QMLE-Trade,2001-07-19,0.579267,0.036490391
NG,N/A,QMLE-Trade,2001-07-20,0.250906,0.015805592
NG,N/A,QMLE-Trade,2001-07-23,0.240959,0.01517899
NG,N/A,QMLE-Trade,2001-07-24,0.00072429,4.56E-05
NG,N/A,QMLE-Trade,2001-07-25,1.3942,0.087826345
NG,N/A,QMLE-Trade,2001-07-26,1.09719,0.069116473
NG,N/A,QMLE-Trade,2001-07-27,0.314024,0.019781653
NG,N/A,QMLE-Trade,2001-07-30,0.643307,0.040524532
NG,N/A,QMLE-Trade,2001-07-31,0.495647,0.031222826
NG,N/A,QMLE-Trade,2001-08-01,0.965119,0.060796782
NG,N/A,QMLE-Trade,2001-08-02,0.399558,0.025169788
NG,N/A,QMLE-Trade,2001-08-03,0.370551,0.023342519
NG,N/A,QMLE-Trade,2001-08-06,0.582048,0.036665578
NG,N/A,QMLE-Trade,2001-08-07,0.665889,0.041947064
NG,N/A,QMLE-Trade,2001-08-08,0.59718,0.037618804
NG,N/A,QMLE-Trade,2001-08-09,0.506746,0.031921997
NG,N/A,QMLE-Trade,2001-08-10,0.133146,0.00838741
NG,N/A,QMLE-Trade,2001-08-13,0.24989,0.01574159
NG,N/A,QMLE-Trade,2001-08-14,0.439524,0.02768741
NG,N/A,QMLE-Trade,2001-08-15,1.58552,0.099878372
NG,N/A,QMLE-Trade,2001-08-16,1.1172,0.070376985
NG,N/A,QMLE-Trade,2001-08-17,0.587578,0.037013935
NG,N/A,QMLE-Trade,2001-08-20,0.272426,0.017161225
NG,N/A,QMLE-Trade,2001-08-21,0.250991,0.015810947
NG,N/A,QMLE-Trade,2001-08-24,0.277623,0.017488605
NG,N/A,QMLE-Trade,2001-08-27,0.609451,0.038391804
NG,N/A,QMLE-Trade,2001-08-28,0.642314,0.040461979
NG,N/A,QMLE-Trade,2001-08-29,0.259084,0.016320758
NG,N/A,QMLE-Trade,2001-08-30,0.885709,0.055794423
NG,N/A,QMLE-Trade,2001-08-31,0.357986,0.022550998
NG,N/A,QMLE-Trade,2001-09-04,0.632427,0.039839156
NG,N/A,QMLE-Trade,2001-09-05,0.361638,0.022781053
NG,N/A,QMLE-Trade,2001-09-06,0.407206,0.025651567
NG,N/A,QMLE-Trade,2001-09-07,0.248675,0.015665053
NG,N/A,QMLE-Trade,2001-09-10,0.501039,0.03156249
NG,N/A,QMLE-Trade,2001-09-14,1.3147,0.082818315
NG,N/A,QMLE-Trade,2001-09-18,0.347446,0.021887041
NG,N/A,QMLE-Trade,2001-09-19,0.424046,0.026712387
NG,N/A,QMLE-Trade,2001-09-20,0.197557,0.012444921
NG,N/A,QMLE-Trade,2001-09-21,0.245476,0.015463534
NG,N/A,QMLE-Trade,2001-09-24,0.403118,0.025394047
NG,N/A,QMLE-Trade,2001-09-25,0.172605,0.010873093
NG,N/A,QMLE-Trade,2001-09-26,0.231824,0.014603539
NG,N/A,QMLE-Trade,2001-09-27,0.278434,0.017539693
NG,N/A,QMLE-Trade,2001-09-28,0.343076,0.021611757
NG,N/A,QMLE-Trade,2001-10-01,0.161473,0.010171843
NG,N/A,QMLE-Trade,2001-10-02,0.675133,0.042529381
NG,N/A,QMLE-Trade,2001-10-03,0.347013,0.021859764
NG,N/A,QMLE-Trade,2001-10-04,0.722154,0.045491426
NG,N/A,QMLE-Trade,2001-10-05,0.208313,0.013122486
NG,N/A,QMLE-Trade,2001-10-12,0.451442,0.028438173
NG,N/A,QMLE-Trade,2001-10-16,0.92877,0.058507011
NG,N/A,QMLE-Trade,2001-10-18,0.513882,0.032371523
NG,N/A,QMLE-Trade,2001-10-19,0.847917,0.05341375
NG,N/A,QMLE-Trade,2001-10-23,1.13289,0.071365362
NG,N/A,QMLE-Trade,2001-10-24,0.474478,0.029889305
NG,N/A,QMLE-Trade,2001-10-26,0.281509,0.0177334
NG,N/A,QMLE-Trade,2001-10-31,0.401365,0.025283618
NG,N/A,QMLE-Trade,2001-11-02,0.304305,0.019169413
NG,N/A,QMLE-Trade,2001-11-05,0.849033,0.053484052
NG,N/A,QMLE-Trade,2001-11-06,0.306535,0.01930989
NG,N/A,QMLE-Trade,2001-11-07,0.425216,0.02678609
NG,N/A,QMLE-Trade,2001-11-08,0.530106,0.033393539
NG,N/A,QMLE-Trade,2001-11-09,0.269303,0.016964494
NG,N/A,QMLE-Trade,2001-11-12,0.321077,0.02022595
NG,N/A,QMLE-Trade,2001-11-13,0.549221,0.034597671
NG,N/A,QMLE-Trade,2001-11-14,0.46031,0.028996804
NG,N/A,QMLE-Trade,2001-11-15,0.321073,0.020225698
NG,N/A,QMLE-Trade,2001-11-16,0.418232,0.02634614
NG,N/A,QMLE-Trade,2001-11-19,1.79859,0.11330052
NG,N/A,QMLE-Trade,2001-11-20,0.363835,0.022919451
NG,N/A,QMLE-Trade,2001-11-21,0.640791,0.040366039
NG,N/A,QMLE-Trade,2001-11-26,0.552211,0.034786023
NG,N/A,QMLE-Trade,2001-11-27,0.373914,0.023554368
NG,N/A,QMLE-Trade,2001-11-28,0.790457,0.049794111
NG,N/A,QMLE-Trade,2001-11-29,0.759338,0.047833798
NG,N/A,QMLE-Trade,2001-11-30,0.719775,0.045341563
NG,N/A,QMLE-Trade,2001-12-03,0.421481,0.026550807
NG,N/A,QMLE-Trade,2001-12-04,0.311255,0.019607222
NG,N/A,QMLE-Trade,2001-12-05,0.569112,0.035850686
NG,N/A,QMLE-Trade,2001-12-06,0.594292,0.037436877
NG,N/A,QMLE-Trade,2001-12-07,0.662938,0.041761169
NG,N/A,QMLE-Trade,2001-12-10,0.732045,0.0461145
NG,N/A,QMLE-Trade,2001-12-11,0.495129,0.031190195
NG,N/A,QMLE-Trade,2001-12-12,0.28953,0.018238676
NG,N/A,QMLE-Trade,2001-12-13,0.434593,0.027376786
NG,N/A,QMLE-Trade,2001-12-14,0.593817,0.037406955
NG,N/A,QMLE-Trade,2001-12-17,1.1289,0.071114016
NG,N/A,QMLE-Trade,2001-12-18,0.428814,0.027012743
NG,N/A,QMLE-Trade,2001-12-19,0.676914,0.042641574
NG,N/A,QMLE-Trade,2001-12-20,0.3239,0.020403782
NG,N/A,QMLE-Trade,2001-12-21,0.193028,0.012159621
NG,N/A,QMLE-Trade,2001-12-26,0.997446,0.062833192
NG,N/A,QMLE-Trade,2001-12-27,0.373228,0.023511154
NG,N/A,QMLE-Trade,2001-12-28,0.426042,0.026838123
NG,N/A,QMLE-Trade,2001-12-31,0.00109201,6.88E-05
NG,N/A,QMLE-Trade,2002-01-02,0.38013,0.023945939
NG,N/A,QMLE-Trade,2002-01-03,1.03544,0.065226589
NG,N/A,QMLE-Trade,2002-01-04,0.244675,0.015413076
NG,N/A,QMLE-Trade,2002-01-07,0.541892,0.034135987
NG,N/A,QMLE-Trade,2002-01-08,0.382086,0.024069156
NG,N/A,QMLE-Trade,2002-01-09,0.262768,0.016552828
NG,N/A,QMLE-Trade,2002-01-10,0.545029,0.0343336
NG,N/A,QMLE-Trade,2002-01-11,0.438195,0.02760369
NG,N/A,QMLE-Trade,2002-01-14,0.497815,0.031359397
NG,N/A,QMLE-Trade,2002-01-15,0.432714,0.02725842
NG,N/A,QMLE-Trade,2002-01-16,0.533606,0.033614018
NG,N/A,QMLE-Trade,2002-01-17,0.351242,0.022126166
NG,N/A,QMLE-Trade,2002-01-22,0.433668,0.027318516
NG,N/A,QMLE-Trade,2002-01-23,0.247537,0.015593365
NG,N/A,QMLE-Trade,2002-01-24,0.571258,0.035985871
NG,N/A,QMLE-Trade,2002-01-25,0.411444,0.025918536
NG,N/A,QMLE-Trade,2002-01-28,1.21727,0.076680802
NG,N/A,QMLE-Trade,2002-01-29,0.20929,0.013184031
NG,N/A,QMLE-Trade,2002-01-30,0.310845,0.019581394
NG,N/A,QMLE-Trade,2002-01-31,0.278001,0.017512417
NG,N/A,QMLE-Trade,2002-02-01,0.120449,0.007587574
NG,N/A,QMLE-Trade,2002-02-04,0.509111,0.032070978
NG,N/A,QMLE-Trade,2002-02-05,0.57021,0.035919854
NG,N/A,QMLE-Trade,2002-02-06,0.395337,0.02490389
NG,N/A,QMLE-Trade,2002-02-07,0.451711,0.028455118
NG,N/A,QMLE-Trade,2002-02-08,0.145166,0.009144598
NG,N/A,QMLE-Trade,2002-02-11,1.02635,0.064653973
NG,N/A,QMLE-Trade,2002-02-12,0.359801,0.022665333
NG,N/A,QMLE-Trade,2002-02-13,0.421012,0.026521263
NG,N/A,QMLE-Trade,2002-02-14,0.472474,0.029763064
NG,N/A,QMLE-Trade,2002-02-15,0.213188,0.013429582
NG,N/A,QMLE-Trade,2002-02-19,0.938056,0.059091974
NG,N/A,QMLE-Trade,2002-02-20,0.524481,0.033039197
NG,N/A,QMLE-Trade,2002-02-21,0.422268,0.026600384
NG,N/A,QMLE-Trade,2002-02-22,0.203362,0.012810602
NG,N/A,QMLE-Trade,2002-02-25,0.400526,0.025230766
NG,N/A,QMLE-Trade,2002-02-26,0.348932,0.02198065
NG,N/A,QMLE-Trade,2002-02-27,0.466494,0.02938636
NG,N/A,QMLE-Trade,2002-02-28,0.622696,0.039226161
NG,N/A,QMLE-Trade,2002-03-01,0.232913,0.01467214
NG,N/A,QMLE-Trade,2002-03-04,0.338628,0.021331559
NG,N/A,QMLE-Trade,2002-03-05,0.154446,0.009729183
NG,N/A,QMLE-Trade,2002-03-06,0.767069,0.048320805
NG,N/A,QMLE-Trade,2002-03-07,0.70484,0.044400747
NG,N/A,QMLE-Trade,2002-03-08,0.319279,0.020112686
NG,N/A,QMLE-Trade,2002-03-11,0.966956,0.060912502
NG,N/A,QMLE-Trade,2002-03-12,0.477719,0.030093468
NG,N/A,QMLE-Trade,2002-03-13,0.906986,0.057134748
NG,N/A,QMLE-Trade,2002-03-14,0.901139,0.056766421
NG,N/A,QMLE-Trade,2002-03-15,0.262981,0.016566246
NG,N/A,QMLE-Trade,2002-03-18,0.639409,0.040278981
NG,N/A,QMLE-Trade,2002-03-19,0.469873,0.029599217
NG,N/A,QMLE-Trade,2002-03-20,0.728506,0.045891564
NG,N/A,QMLE-Trade,2002-03-21,1.36306,0.085864709
NG,N/A,QMLE-Trade,2002-03-22,1.63284,0.102859252
NG,N/A,QMLE-Trade,2002-03-25,0.940487,0.059245112
NG,N/A,QMLE-Trade,2002-03-26,0.221725,0.013967362
NG,N/A,QMLE-Trade,2002-03-27,0.536194,0.033777047
NG,N/A,QMLE-Trade,2002-03-28,0.684044,0.043090722
NG,N/A,QMLE-Trade,2002-04-01,0.868771,0.054727429
NG,N/A,QMLE-Trade,2002-04-03,0.058469,0.003683201
NG,N/A,QMLE-Trade,2002-04-04,0.929643,0.058562004
NG,N/A,QMLE-Trade,2002-04-05,0.141336,0.008903331
NG,N/A,QMLE-Trade,2002-04-08,0.343789,0.021656671
NG,N/A,QMLE-Trade,2002-04-09,0.383106,0.02413341
NG,N/A,QMLE-Trade,2002-04-10,0.318832,0.020084528
NG,N/A,QMLE-Trade,2002-04-11,0.151314,0.009531886
NG,N/A,QMLE-Trade,2002-04-12,0.299242,0.018850474
NG,N/A,QMLE-Trade,2002-04-15,1.02401,0.064506567
NG,N/A,QMLE-Trade,2002-04-16,0.711729,0.044834713
NG,N/A,QMLE-Trade,2002-04-17,0.760718,0.04792073
NG,N/A,QMLE-Trade,2002-04-18,0.369524,0.023277824
NG,N/A,QMLE-Trade,2002-04-19,0.176161,0.0110971
NG,N/A,QMLE-Trade,2002-04-22,0.282393,0.017789087
NG,N/A,QMLE-Trade,2002-04-23,0.253841,0.01599048
NG,N/A,QMLE-Trade,2002-04-24,0.571739,0.036016172
NG,N/A,QMLE-Trade,2002-04-25,0.815625,0.051379546
NG,N/A,QMLE-Trade,2002-04-26,0.0983692,0.006196677
NG,N/A,QMLE-Trade,2002-04-29,0.77372,0.048739779
NG,N/A,QMLE-Trade,2002-04-30,0.56411,0.03553559
NG,N/A,QMLE-Trade,2002-05-01,0.401858,0.025314675
NG,N/A,QMLE-Trade,2002-05-02,0.266803,0.016807009
NG,N/A,QMLE-Trade,2002-05-03,0.239431,0.015082735
NG,N/A,QMLE-Trade,2002-05-06,0.313227,0.019731446
NG,N/A,QMLE-Trade,2002-05-07,0.967469,0.060944818
NG,N/A,QMLE-Trade,2002-05-08,0.291936,0.018390239
NG,N/A,QMLE-Trade,2002-05-09,0.270609,0.017046765
NG,N/A,QMLE-Trade,2002-05-10,0.279363,0.017598215
NG,N/A,QMLE-Trade,2002-05-13,0.584623,0.036827787
NG,N/A,QMLE-Trade,2002-05-14,0.2007,0.012642912
NG,N/A,QMLE-Trade,2002-05-15,0.528133,0.033269252
NG,N/A,QMLE-Trade,2002-05-16,0.258539,0.016286426
NG,N/A,QMLE-Trade,2002-05-17,0.245815,0.015484889
NG,N/A,QMLE-Trade,2002-05-20,0.411742,0.025937308
NG,N/A,QMLE-Trade,2002-05-21,0.0943416,0.005942962
NG,N/A,QMLE-Trade,2002-05-22,0.185444,0.011681874
NG,N/A,QMLE-Trade,2002-05-23,0.396875,0.025000775
NG,N/A,QMLE-Trade,2002-05-24,0.189142,0.011914826
NG,N/A,QMLE-Trade,2002-05-28,0.152333,0.009596077
NG,N/A,QMLE-Trade,2002-05-29,0.135391,0.008528831
NG,N/A,QMLE-Trade,2002-05-30,1.2502,0.078755197
NG,N/A,QMLE-Trade,2002-05-31,0.00413603,0.000260545
NG,N/A,QMLE-Trade,2002-06-03,0.295393,0.01860801
NG,N/A,QMLE-Trade,2002-06-04,0.193796,0.012208001
NG,N/A,QMLE-Trade,2002-06-05,0.159805,0.010066769
NG,N/A,QMLE-Trade,2002-06-06,0.546462,0.03442387
NG,N/A,QMLE-Trade,2002-06-07,0.143808,0.009059052
NG,N/A,QMLE-Trade,2002-06-10,0.352852,0.022227587
NG,N/A,QMLE-Trade,2002-06-11,0.198301,0.012491789
NG,N/A,QMLE-Trade,2002-06-12,0.500725,0.03154271
NG,N/A,QMLE-Trade,2002-06-13,0.969519,0.061073956
NG,N/A,QMLE-Trade,2002-06-14,0.00020543,1.29E-05
NG,N/A,QMLE-Trade,2002-06-17,0.360587,0.022714846
NG,N/A,QMLE-Trade,2002-06-18,0.222672,0.014027018
NG,N/A,QMLE-Trade,2002-06-19,0.249303,0.015704613
NG,N/A,QMLE-Trade,2002-06-20,0.862299,0.054319731
NG,N/A,QMLE-Trade,2002-06-21,0.199288,0.012553964
NG,N/A,QMLE-Trade,2002-06-24,0.605147,0.038120678
NG,N/A,QMLE-Trade,2002-06-25,0.539029,0.033955635
NG,N/A,QMLE-Trade,2002-06-26,0.297942,0.018768582
NG,N/A,QMLE-Trade,2002-06-27,0.397349,0.025030634
NG,N/A,QMLE-Trade,2002-06-28,0.163694,0.010311753
NG,N/A,QMLE-Trade,2002-07-01,0.447007,0.028158794
NG,N/A,QMLE-Trade,2002-07-02,0.0938815,0.005913979
NG,N/A,QMLE-Trade,2002-07-03,0.219255,0.013811767
NG,N/A,QMLE-Trade,2002-07-08,0.724723,0.045653258
NG,N/A,QMLE-Trade,2002-07-09,0.541337,0.034101026
NG,N/A,QMLE-Trade,2002-07-10,0.829496,0.052253336
NG,N/A,QMLE-Trade,2002-07-11,0.15175,0.009559351
NG,N/A,QMLE-Trade,2002-07-12,0.391037,0.024633016
NG,N/A,QMLE-Trade,2002-07-15,0.247118,0.015566971
NG,N/A,QMLE-Trade,2002-07-16,0.245161,0.015443691
NG,N/A,QMLE-Trade,2002-07-17,0.629297,0.039641985
NG,N/A,QMLE-Trade,2002-07-18,0.910382,0.057348675
NG,N/A,QMLE-Trade,2002-07-19,0.186417,0.011743167
NG,N/A,QMLE-Trade,2002-07-22,0.243021,0.015308884
NG,N/A,QMLE-Trade,2002-07-23,0.339798,0.021405262
NG,N/A,QMLE-Trade,2002-07-24,0.757544,0.047720786
NG,N/A,QMLE-Trade,2002-07-25,0.97801,0.061608839
NG,N/A,QMLE-Trade,2002-07-26,0.143411,0.009034044
NG,N/A,QMLE-Trade,2002-07-29,0.386558,0.024350865
NG,N/A,QMLE-Trade,2002-07-30,0.217004,0.013669967
NG,N/A,QMLE-Trade,2002-07-31,0.274774,0.017309135
NG,N/A,QMLE-Trade,2002-08-01,0.858145,0.054058054
NG,N/A,QMLE-Trade,2002-08-02,0.199692,0.012579414
NG,N/A,QMLE-Trade,2002-08-05,0.613837,0.038668096
NG,N/A,QMLE-Trade,2002-08-06,0.0899252,0.005664755
NG,N/A,QMLE-Trade,2002-08-07,0.18194,0.011461143
NG,N/A,QMLE-Trade,2002-08-08,0.547108,0.034464564
NG,N/A,QMLE-Trade,2002-08-09,0.131531,0.008285674
NG,N/A,QMLE-Trade,2002-08-12,0.8391,0.052858332
NG,N/A,QMLE-Trade,2002-08-13,0.281797,0.017751542
NG,N/A,QMLE-Trade,2002-08-14,0.480087,0.030242638
NG,N/A,QMLE-Trade,2002-08-15,1.37866,0.086847417
NG,N/A,QMLE-Trade,2002-08-19,1.03103,0.064948785
NG,N/A,QMLE-Trade,2002-08-20,0.444074,0.027974033
NG,N/A,QMLE-Trade,2002-08-21,0.632424,0.039838967
NG,N/A,QMLE-Trade,2002-08-22,1.04992,0.066138743
NG,N/A,QMLE-Trade,2002-08-23,0.202209,0.01273797
NG,N/A,QMLE-Trade,2002-08-26,0.406492,0.025606589
NG,N/A,QMLE-Trade,2002-08-27,0.34659,0.021833118
NG,N/A,QMLE-Trade,2002-08-28,0.154031,0.009703041
NG,N/A,QMLE-Trade,2002-08-29,0.872096,0.054936884
NG,N/A,QMLE-Trade,2002-08-30,0.179789,0.011325642
NG,N/A,QMLE-Trade,2002-09-03,0.339259,0.021371308
NG,N/A,QMLE-Trade,2002-09-04,0.237816,0.014981
NG,N/A,QMLE-Trade,2002-09-05,0.783156,0.049334191
NG,N/A,QMLE-Trade,2002-09-06,0.224305,0.014129887
NG,N/A,QMLE-Trade,2002-09-09,0.902131,0.056828911
NG,N/A,QMLE-Trade,2002-09-10,0.237956,0.014989819
NG,N/A,QMLE-Trade,2002-09-11,0.476352,0.030007355
NG,N/A,QMLE-Trade,2002-09-12,0.46458,0.029265789
NG,N/A,QMLE-Trade,2002-09-13,0.0983048,0.00619262
NG,N/A,QMLE-Trade,2002-09-16,0.445048,0.028035389
NG,N/A,QMLE-Trade,2002-09-17,1.07056,0.067438941
NG,N/A,QMLE-Trade,2002-09-18,0.343627,0.021646466
NG,N/A,QMLE-Trade,2002-09-19,0.23627,0.014883611
NG,N/A,QMLE-Trade,2002-09-20,0.215508,0.013575728
NG,N/A,QMLE-Trade,2002-09-23,0.708634,0.044639746
